"","1993-11-04","","","1993-11-04","","","","","","",""
"result.141",0.00157653197691499,0.0330082190394094,0,3.1431687062491e-06,0.0148809751169579,0,1.33044431400414e-06,0.0256305215655752,0,2.40539895886576e-06,141
"result.142",0.000590533606612986,0.0326540785827305,0,3.2063544976114e-06,0.0148809751169579,0,1.42904415103433e-06,0.0252955254830099,0,2.47049918763942e-06,142
"result.143",-0.00181650250053433,0.0323225472806499,0,3.41390497811804e-06,0.0148809751169579,0,1.66974776174904e-06,0.0250100115164139,0,2.68265140169453e-06,143
"result.144",0.00247230824805467,0.0319171816528367,0,2.94448734047788e-06,0.0148809751169579,0,1.24086668689019e-06,0.024702934835214,0,2.22306265871569e-06,144
"result.145",4.36784372546128e-05,0.0316880367636614,0,3.16443583264033e-06,0.0148809751169579,0,1.48372966797017e-06,0.0245214761442341,0,2.44777977069768e-06,145
"result.146",0.00540438239863938,0.0313202692673187,0,2.59158868686764e-06,0.0148809751169579,0,9.47659271831747e-07,0.0241894342695644,0,1.8785051870923e-06,146
"result.147",-0.00272032025167679,0.0309143341719462,0,3.36346544236193e-06,0.0148809751169579,0,1.76012953686327e-06,0.0240584530367285,0,2.67787732884023e-06,147
"result.148",-0.00146117419692882,0.0308070121272195,0,3.22681863241447e-06,0.0148809751169579,0,1.63421493138849e-06,0.0238288243797719,0,2.52899985766979e-06,148
"result.149",-0.00251290574142171,0.03059375951036,0,3.31066652517781e-06,0.0148809751169579,0,1.73938808583777e-06,0.0236161559616881,0,2.6129061703107e-06,149
"result.150",0.00174875883954506,0.0302510952378086,0,2.85023363982604e-06,0.0148809751169579,0,1.31322162774114e-06,0.0233696204033643,0,2.16208615638168e-06,150
"result.151",0.0017675978149585,0.0299757038602948,0,2.82081060453332e-06,0.0148809751169579,0,1.3113377301998e-06,0.0231272507566127,0,2.13596529416518e-06,151
"result.152",0.00093703874077633,0.029673401662329,0,2.87363629215495e-06,0.0148809751169579,0,1.394393637618e-06,0.0228833611050941,0,2.19463223643153e-06,152
"result.153",0.00709736122263216,0.0291988666805807,0,2.21015054579461e-06,0.0148809751169579,0,7.78361389432488e-07,0.0224793770129796,0,1.53820157903458e-06,153
"result.154",-0.00381376014947588,0.0290473395768984,0,3.28610997263707e-06,0.0148809751169579,0,1.86947352664317e-06,0.0227004310957287,0,2.65141912452017e-06,154
"result.155",0.00286168389945107,0.0291250290316682,0,2.62633451322143e-06,0.0148809751169579,0,1.20192912175055e-06,0.0225226099657096,0,1.96609260662564e-06,155
"result.156",-0.00756208862576724,0.028993209670837,0,3.65552982966002e-06,0.0148809751169579,0,2.24430637427227e-06,0.0223756156042134,0,2.99377042299773e-06,156
